"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The perfect skin to keep Alexa accompany (aff): https://t.co/NuGG3wNwlj
#alexaskin #amazonecho #alexafanclub https://t.co/GCn0PHiOjo",FALSE,0,NA,2017-12-12 00:40:01,FALSE,NA,"940380685780635649",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","BTeelie",0,FALSE,FALSE,NA,NA
"2","RT @TimRunsHisMouth: I'm crying laughing...
""Alexa... are you connected to the CIA?""
""Alexa... you are lying to me."" - Alex Jones' hard hit…",FALSE,0,NA,2017-12-12 00:40:00,FALSE,NA,"940380681380777984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TommyJeffy",24872,TRUE,FALSE,NA,NA
"3","Amazon Alexa can now wake you up to music https://t.co/aVnSaKCK4u https://t.co/Fnmm3LJD4b",FALSE,0,NA,2017-12-12 00:39:18,FALSE,NA,"940380505798791171",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","FrateritInc",0,FALSE,FALSE,NA,NA
"4","RT @_DorisIT: Need some #MondayMotivation ? #Day11 of #DorisChristmas ! RT &amp; FOLLOW us for your chance to #win an AMAZON ECHO and make your…",FALSE,0,NA,2017-12-12 00:38:29,FALSE,NA,"940380300160454658",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Graham007LYNDA",1238,TRUE,FALSE,NA,NA
"5","@newmarker @Google Why, because it looks gray?������Interested to hear how it sounds and how it stacks up against Sonos.… https://t.co/zR2UoPLdaH",FALSE,1,"newmarker",2017-12-12 00:38:03,TRUE,"940378508013924352","940380188675919872","18660401","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Brian_Buntz",0,FALSE,FALSE,NA,NA
"6","RT @Gadgets360: Harman Launches Harman Kardon Allure With Alexa Support in India https://t.co/OYnS1CBOBn",FALSE,0,NA,2017-12-12 00:38:02,FALSE,NA,"940380184418557952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","meghnabasu2",8,TRUE,FALSE,NA,NA
"7","RT @michaelschaub: Noel Gallagher is the gift that keeps on giving. https://t.co/yCGi2cou75 https://t.co/BjPW6BKeb5",FALSE,0,NA,2017-12-12 00:37:30,FALSE,NA,"940380054000930816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amvp_chan",261,TRUE,FALSE,NA,NA
"8","Let Santa pick Christmas music for you with this Alexa skill     - CNET https://t.co/eZaw2psPov",FALSE,0,NA,2017-12-12 00:37:11,FALSE,NA,"940379971633274883",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","EGCElectric",0,FALSE,FALSE,NA,NA
"9","RT @DavidPapp: [CNET] Let Santa pick Christmas music for you with this Alexa skill - CNET https://t.co/iHSNmIHi5q",FALSE,0,NA,2017-12-12 00:36:45,FALSE,NA,"940379861738123264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KookieChlm",2,TRUE,FALSE,NA,NA
"10","Let Santa pick Christmas music for you with this Alexa skill     - CNET https://t.co/6tnqTx7SFA",FALSE,0,NA,2017-12-12 00:36:30,FALSE,NA,"940379798492377088",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","droidtherapy",0,FALSE,FALSE,NA,NA
