"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Google's premium Home Max smart speaker goes on sale - TechCrunch https://t.co/HgYPMGk68b",FALSE,0,NA,2017-12-12 00:48:51,FALSE,NA,"940382910162636800",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TheGoogleDotCom",0,FALSE,FALSE,NA,NA
"2","RT @superscientific: Anyone actually interested in Google Home Max with its $399 price point?",FALSE,0,NA,2017-12-12 00:48:51,FALSE,NA,"940382907482365952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","philipaffle",16,TRUE,FALSE,NA,NA
"3","Mortgage Solutions Group Providing Services and Education to Canadian Home Buyers https://t.co/fTAcLMMHx1",FALSE,0,NA,2017-12-12 00:48:44,FALSE,NA,"940382880479490049",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","HomeRemodelUSA",0,FALSE,FALSE,NA,NA
"4","Nest Thermostat E + Google Home Mini $149 + Free Shipping https://t.co/dkH8k3t7XI",FALSE,0,NA,2017-12-12 00:48:39,FALSE,NA,"940382857238736896",NA,"<a href=""http://slickdeals.net"" rel=""nofollow"">Slickdeals</a>","slickdeals",0,FALSE,FALSE,NA,NA
"5","Is it worth buying the Google Home Mini Smart Speaker Home Assistant Thingie? - Let’s talk about these Home Assista… https://t.co/mWy23TlE2Z",FALSE,0,NA,2017-12-12 00:48:28,TRUE,NA,"940382813228093440",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","awehjozi",0,FALSE,FALSE,NA,NA
"6","RT @NathanLerner: Last chance to sign-up for our election day phonebanks for Doug Jones!
 
Manhattan: https://t.co/NeZcGxKh9o

Brooklyn: ht…",FALSE,0,NA,2017-12-12 00:48:26,FALSE,NA,"940382805284081664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","queenymom",29,TRUE,FALSE,NA,NA
"7","RT @9to5Google: 9to5Toys Lunch Break: Acer Chromebook 15 w/ Google Home $299, LG V30 Verizon $540, DJI Spark $289, more https://t.co/RL3aOk…",FALSE,0,NA,2017-12-12 00:48:18,FALSE,NA,"940382770530078720",NA,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","twood3",3,TRUE,FALSE,NA,NA
"8","CEL-SCI Reaches Full Enrollment in Pivotal Phase 3 Head and Neck Cancer Study https://t.co/TN1pRR1aoS",FALSE,0,NA,2017-12-12 00:48:03,FALSE,NA,"940382705606209536",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","makesharamel",0,FALSE,FALSE,NA,NA
"9","Commissioning Event Celebrates Operation of 179 Megawatt Switch Station 1 and Switch Station 2 ... https://t.co/eenS3vhByk",FALSE,0,NA,2017-12-12 00:47:55,FALSE,NA,"940382675176755200",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","SolarProjec",0,FALSE,FALSE,NA,NA
"10","Win the Google Home Mini from @iHeartRadio https://t.co/lJJnURvdl4",FALSE,0,NA,2017-12-12 00:47:53,FALSE,NA,"940382665106104322",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheresaBrezovsk",0,FALSE,FALSE,NA,NA
