"","word","n","product"
"1","home",2397,"Google Home"
"2","google",2292,"Google Home"
"3","max",1050,"Google Home"
"4","smart",672,"Google Home"
"5","speaker",404,"Google Home"
"6","mini",298,"Google Home"
"7","follow",272,"Google Home"
"8","sign",254,"Google Home"
"9","incredible",223,"Google Home"
"10","volume",223,"Google Home"
"11","mkbhd",216,"Google Home"
"12","features",212,"Google Home"
"13","loud",210,"Google Home"
"14","sounds",208,"Google Home"
"15","coming",207,"Google Home"
"16","damn",206,"Google Home"
"17","demitridawson",206,"Google Home"
"18","impression",206,"Google Home"
"19","response",204,"Google Home"
"20","tomorrow",204,"Google Home"
"21","events",200,"Google Home"
"22","phonebank",200,"Google Home"
"23","sale",186,"Google Home"
"24","cnet",174,"Google Home"
"25","hands",157,"Google Home"
"26","amp",132,"Google Home"
"27","google's",127,"Google Home"
"28","sound",113,"Google Home"
"29","amazon",109,"Google Home"
"30","buy",106,"Google Home"
"31","theicollection",102,"Google Home"
"32","release",95,"Google Home"
"33","devices",85,"Google Home"
"34","price",84,"Google Home"
"35","gadgets",83,"Google Home"
"36","touch",81,"Google Home"
"37","echo",80,"Google Home"
"38","premium",79,"Google Home"
"39","day",75,"Google Home"
"40","controls",74,"Google Home"
"41","assistant",73,"Google Home"
"42","date",72,"Google Home"
"43","boom",71,"Google Home"
"44","chance",68,"Google Home"
"45","specs",68,"Google Home"
"46","jones",65,"Google Home"
"47","doug",64,"Google Home"
"48","election",64,"Google Home"
"49","phonebanks",64,"Google Home"
"50","syncs",62,"Google Home"
"51","phrase",61,"Google Home"
"52","update",60,"Google Home"
"53","bug",59,"Google Home"
"54","creepy",58,"Google Home"
"55","manhattan",58,"Google Home"
"56","verizon",58,"Google Home"
"57","free",57,"Google Home"
"58","holiday",57,"Google Home"
"59","brooklyn",56,"Google Home"
"60","recovers",56,"Google Home"
"61","retailers",56,"Google Home"
"62","spying",56,"Google Home"
"63","starts",55,"Google Home"
"64","android",54,"Google Home"
"65","play",54,"Google Home"
"66","ce",53,"Google Home"
"67","alexa",52,"Google Home"
"68","retweet",52,"Google Home"
"69","video",52,"Google Home"
"70","concours",51,"Google Home"
"71","gagne",51,"Google Home"
"72","lenoeldejb",51,"Google Home"
"73","store",51,"Google Home"
"74","twe",51,"Google Home"
"75","tech",48,"Google Home"
"76","music",46,"Google Home"
"77","madebygoogle",45,"Google Home"
"78","finally",44,"Google Home"
"79","win",44,"Google Home"
"80","abortions",42,"Google Home"
"81","beats",42,"Google Home"
"82","beauty",42,"Google Home"
"83","brains",42,"Google Home"
"84","news",42,"Google Home"
"85","christmas",39,"Google Home"
"86","shipping",38,"Google Home"
"87","radio",37,"Google Home"
"88","time",37,"Google Home"
"89","youtube",37,"Google Home"
"90","check",36,"Google Home"
"91","deal",36,"Google Home"
"92","playlist",36,"Google Home"
"93","ars",35,"Google Home"
"94","purchase",35,"Google Home"
"95","battery",34,"Google Home"
"96","chromebook",34,"Google Home"
"97","ears",34,"Google Home"
"98","favorite",34,"Google Home"
"99","lifehacker",34,"Google Home"
"100","select",34,"Google Home"
"101","technica",34,"Google Home"
"102","portable",33,"Google Home"
"103","sync",33,"Google Home"
"104","walmart",33,"Google Home"
"105","acer",32,"Google Home"
"106","gt",32,"Google Home"
"107","speakers",32,"Google Home"
"108","adjusts",31,"Google Home"
"109","nathanlerner",31,"Google Home"
"110","pack",31,"Google Home"
"111","playing",31,"Google Home"
"112","techcrunch",31,"Google Home"
"113","app",30,"Google Home"
"114","apple",30,"Google Home"
"115","bluetooth",30,"Google Home"
"116","top",30,"Google Home"
"117","game",29,"Google Home"
"118","plan",28,"Google Home"
"119","ron",28,"Google Home"
"120","amadeo",27,"Google Home"
"121","head",27,"Google Home"
"122","ht",27,"Google Home"
"123","matter",27,"Google Home"
"124","review",27,"Google Home"
"125","post",26,"Google Home"
"126","building",25,"Google Home"
"127","djin",25,"Google Home"
"128","mobile",25,"Google Home"
"129","thedemcoalition",25,"Google Home"
"130","technology",24,"Google Home"
"131","androidauth",23,"Google Home"
"132","nest",23,"Google Home"
"133","songs",23,"Google Home"
"134","watch",23,"Google Home"
"135","competition",22,"Google Home"
"136","dec",22,"Google Home"
"137","doctors",22,"Google Home"
"138","iheartradio",22,"Google Home"
"139","removed",22,"Google Home"
"140","bunions",21,"Google Home"
"141","commands",21,"Google Home"
"142","deals",21,"Google Home"
"143","global",21,"Google Home"
"144","holidays",21,"Google Home"
"145","homepod",21,"Google Home"
"146","lifenewshq",21,"Google Home"
"147","listen",21,"Google Home"
"148","party",21,"Google Home"
"149","promotes",21,"Google Home"
"150","wireless",21,"Google Home"
"151","action",20,"Google Home"
"152","aiiamericangiri",20,"Google Home"
"153","command",20,"Google Home"
"154","decide",20,"Google Home"
"155","stores",20,"Google Home"
"156","toronto",20,"Google Home"
"157","bcp",19,"Google Home"
"158","bcproducts",19,"Google Home"
"159","create",19,"Google Home"
"160","googlehome",19,"Google Home"
"161","hey",19,"Google Home"
"162","qewyhlljbl",19,"Google Home"
"163","sonos",19,"Google Home"
"164","week",19,"Google Home"
"165","considero",18,"Google Home"
"166","life",18,"Google Home"
"167","market",18,"Google Home"
"168","owlstudios",18,"Google Home"
"169","simply",18,"Google Home"
"170","stack",18,"Google Home"
"171","break",17,"Google Home"
"172","business",17,"Google Home"
"173","database",17,"Google Home"
"174","fun",17,"Google Home"
"175","personally",17,"Google Home"
"176","phone",17,"Google Home"
"177","chromecast",16,"Google Home"
"178","december",16,"Google Home"
"179","dji",16,"Google Home"
"180","frbsjjqtxu",16,"Google Home"
"181","home's",16,"Google Home"
"182","lt",16,"Google Home"
"183","markgurman",16,"Google Home"
"184","people",16,"Google Home"
"185","quality",16,"Google Home"
"186","story",16,"Google Home"
"187","stuff",16,"Google Home"
"188","trustygordon",16,"Google Home"
"189","apple's",15,"Google Home"
"190","gift",15,"Google Home"
"191","house",15,"Google Home"
"192","lg",15,"Google Home"
"193","listening",15,"Google Home"
"194","slideme",15,"Google Home"
"195","spark",15,"Google Home"
"196","talking",15,"Google Home"
"197","thermostat",15,"Google Home"
"198","voice",15,"Google Home"
"199","audiophile",14,"Google Home"
"200","call",14,"Google Home"
"201","char",14,"Google Home"
"202","crashing",14,"Google Home"
"203","design",14,"Google Home"
"204","green",14,"Google Home"
"205","hosting",14,"Google Home"
"206","level",14,"Google Home"
"207","lunch",14,"Google Home"
"208","qhdaznbrdy",14,"Google Home"
"209","realestate",14,"Google Home"
"210","reportedly",14,"Google Home"
"211","season",14,"Google Home"
"212","services",14,"Google Home"
"213","siri",14,"Google Home"
"214","wake",14,"Google Home"
"215","white",14,"Google Home"
"216","activities",13,"Google Home"
"217","adds",13,"Google Home"
"218","answer",13,"Google Home"
"219","charlesmilander",13,"Google Home"
"220","control",13,"Google Home"
"221","davidpapp",13,"Google Home"
"222","giveaway",13,"Google Home"
"223","gizmodo",13,"Google Home"
"224","gurman",13,"Google Home"
"225","jackmasseywelsh",13,"Google Home"
"226","lights",13,"Google Home"
"227","office",13,"Google Home"
"228","set",13,"Google Home"
"229","technews",13,"Google Home"
"230","uk",13,"Google Home"
"231","verge",13,"Google Home"
"232","experienced",12,"Google Home"
"233","investors",12,"Google Home"
"234","journey",12,"Google Home"
"235","learning",12,"Google Home"
"236","lookrev",12,"Google Home"
"237","love",12,"Google Home"
"238","management",12,"Google Home"
"239","monday",12,"Google Home"
"240","money",12,"Google Home"
"241","reviews",12,"Google Home"
"242","safe",12,"Google Home"
"243","search",12,"Google Home"
"244","security",12,"Google Home"
"245","students",12,"Google Home"
"246","world",12,"Google Home"
"247","blog",11,"Google Home"
"248","energy",11,"Google Home"
"249","live",11,"Google Home"
"250","major",11,"Google Home"
"251","multiple",11,"Google Home"
"252","network",11,"Google Home"
"253","personal",11,"Google Home"
"254","playback",11,"Google Home"
"255","real",11,"Google Home"
"256","reveals",11,"Google Home"
"257","share",11,"Google Home"
"258","site",11,"Google Home"
"259","solutions",11,"Google Home"
"260","support",11,"Google Home"
"261","audio",10,"Google Home"
"262","comeback",10,"Google Home"
"263","furniture",10,"Google Home"
"264","future",10,"Google Home"
"265","guide",10,"Google Home"
"266","push",10,"Google Home"
"267","remember",10,"Google Home"
"268","research",10,"Google Home"
"269","save",10,"Google Home"
"270","shop",10,"Google Home"
"271","standoff",10,"Google Home"
"272","team",10,"Google Home"
"273","tonight",10,"Google Home"
"274","tv",10,"Google Home"
"275","usa",10,"Google Home"
"276","ai",9,"Google Home"
"277","arrives",9,"Google Home"
"278","article",9,"Google Home"
"279","automation",9,"Google Home"
"280","beefy",9,"Google Home"
"281","blockchain",9,"Google Home"
"282","bought",9,"Google Home"
"283","bring",9,"Google Home"
"284","city",9,"Google Home"
"285","data",9,"Google Home"
"286","easy",9,"Google Home"
"287","functions",9,"Google Home"
"288","googlehomemax",9,"Google Home"
"289","hits",9,"Google Home"
"290","kids",9,"Google Home"
"291","loves",9,"Google Home"
"292","oil",9,"Google Home"
"293","pixel",9,"Google Home"
"294","pm",9,"Google Home"
"295","powered",9,"Google Home"
"296","regains",9,"Google Home"
"297","ronamadeo",9,"Google Home"
"298","slate",9,"Google Home"
"299","spotify",9,"Google Home"
"300","storage",9,"Google Home"
"301","super",9,"Google Home"
"302","syncing",9,"Google Home"
"303","transform",9,"Google Home"
"304","updates",9,"Google Home"
"305","videos",9,"Google Home"
"306","wednesday",9,"Google Home"
"307","wifi",9,"Google Home"
"308","added",8,"Google Home"
"309","ads",8,"Google Home"
"310","authors",8,"Google Home"
"311","black",8,"Google Home"
"312","bunch",8,"Google Home"
"313","change",8,"Google Home"
"314","congratulations",8,"Google Home"
"315","daily",8,"Google Home"
"316","device",8,"Google Home"
"317","download",8,"Google Home"
"318","dream",8,"Google Home"
"319","engadget",8,"Google Home"
"320","entered",8,"Google Home"
"321","favourite",8,"Google Home"
